Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
magma,True,*::secrets::::whole; create::daemonsets::apps::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::replicasets::apps::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::nodes::::whole; patch::pods::::whole; patch::replicasets::apps::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::nodes::::whole; update::pods::::whole; update::replicasets::apps::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole,5,3,25,5
neosync,N/A,,0,0,0,0
scaleph,N/A,,0,0,0,0
dataset-viewer,N/A,,0,0,0,0
online,N/A,,0,0,0,0
apiclarity,N/A,,0,0,0,0
kubermatic,True,create::daemonsets::apps::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; get::secrets::::whole; list::secrets::::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::nodes::::whole; patch::pods::::whole; update::nodes::::whole; update::pods::::whole; watch::secrets::::whole,4,0,12,3
netbox-chart,N/A,,0,0,0,0
pachyderm,N/A,,0,0,0,0
cozystack,True,*::deployments::apps::whole; *::pods::::whole; *::replicasets::apps::whole; *::secrets::::whole; *::statefulsets::apps::whole; create::cronjobs::batch::whole; create::daemonsets::apps::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::replicasets::apps::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::cronjobs::batch::whole; patch::daemonsets::apps::whole; patch::deployments::apps::specific; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::nodes::::whole; patch::pods::::whole; patch::replicasets::apps::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::daemonsets::apps::whole; update::deployments::apps::specific; update::deployments::apps::whole; update::nodes::::whole; update::pods::::whole; update::replicasets::apps::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole,69,26,95,8
astronomer,True,create::cronjobs::batch::whole; create::daemonsets::apps::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::statefulsets::apps::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::cronjobs::batch::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::pods::::whole; patch::secrets::::whole; patch::secrets::core::whole; patch::statefulsets::apps::whole; update::deployments::apps::whole; update::secrets::::whole; watch::secrets::::whole,16,7,12,0
kubernetes-tools,True,*::pods::core::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::pods::core::whole; create::statefulsets::apps::whole; get::*::*::whole; get::secrets::::specific; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::nodes::::whole; patch::pods::::whole; patch::secrets::::whole; patch::secrets::core::whole; patch::statefulsets::apps::whole; update::deployments::apps::whole; update::jobs::batch::whole; update::nodes::::whole; update::pods::::whole; update::secrets::::specific; update::secrets::::whole; update::secrets::core::whole; update::statefulsets::apps::whole; watch::secrets::::whole; watch::secrets::core::whole,52,12,46,4
Ocelot-Social,N/A,,0,0,0,0
dragonfly,N/A,,0,0,0,0
atomix,True,*::deployments::apps::whole; *::pods::::whole; *::secrets::::whole; *::statefulsets::apps::whole,3,0,8,0
Universal-Kubernetes-Helm-Charts,N/A,,0,0,0,0
volsync,True,create::deployments::apps::whole; create::jobs::batch::whole; get::secrets::::whole; list::secrets::::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::secrets::::whole; update::deployments::apps::whole; update::jobs::batch::whole; update::secrets::::whole; watch::secrets::::whole,9,6,18,0
splunk-operator,True,create::pods::::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::pods::::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::pods::::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole,6,4,12,0
loghouse,N/A,,0,0,0,0
spark-operator,True,*::secrets::::whole; *::statefulsets::apps::whole; create::pods::core::whole; patch::pods::core::whole; update::pods::core::whole,1,0,4,0
next-terminal,N/A,,0,0,0,0
mockserver,N/A,,0,0,0,0
flyte,True,*::pods::::whole; *::pods::rbac.authorization.k8s.io::whole; *::secrets::::whole; *::secrets::rbac.authorization.k8s.io::whole; create::pods::*::whole; create::pods::::whole; get::*::*::whole; get::secrets::*::whole; get::secrets::::whole; get::secrets::core::whole; list::*::*::whole; list::secrets::::whole; patch::pods::*::whole; patch::pods::::whole; patch::secrets::*::whole; patch::secrets::::whole; update::pods::*::whole; update::pods::::whole; update::secrets::*::whole; update::secrets::::whole; update::secrets::core::whole; watch::*::*::whole; watch::secrets::::whole,22,11,16,0
yas,True,get::secrets::core::whole; list::secrets::core::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::statefulsets::apps::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::statefulsets::apps::whole; watch::secrets::core::whole,6,0,6,0
RaspberryMatic,N/A,,0,0,0,0
emqx,N/A,,0,0,0,0
starrocks-kubernetes-operator,True,*::cronjobs::batch::whole; *::deployments::apps::whole; *::statefulsets::apps::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::statefulsets::apps::whole; update::statefulsets::apps::whole; watch::secrets::::whole,9,0,9,0
docker-tools,True,list::secrets::::whole; watch::secrets::::whole,4,0,0,0
stackrox,N/A,,0,0,0,0
pgcat,N/A,,0,0,0,0
openreplay,True,get::secrets::core::whole; list::secrets::core::whole; update::secrets::core::whole; watch::secrets::core::whole,6,2,0,0
snapscheduler,N/A,,0,0,0,0
kube-green,True,create::cronjobs::batch::whole; create::deployments::apps::whole; create::statefulsets::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::cronjobs::batch::whole; patch::deployments::apps::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::cronjobs::batch::whole; update::deployments::apps::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole,3,2,15,0
bootzooka,N/A,,0,0,0,0
DeathStarBench,N/A,,0,0,0,0
reactive-coffeeshop-demo,N/A,,0,0,0,0
kubekey,True,create::cronjobs::batch::whole; create::jobs::batch::whole; get::secrets::::whole; list::secrets::::whole; patch::nodes::::whole; patch::secrets::::whole; update::cronjobs::batch::whole; update::jobs::batch::whole; update::nodes::::whole; update::secrets::::whole; watch::secrets::::whole,18,9,4,2
guardllama,True,create::deployments::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::deployments::apps::whole; patch::secrets::::whole; update::deployments::apps::whole; update::secrets::::whole; watch::secrets::::whole,15,10,15,0
Kyoo,N/A,,0,0,0,0
inlong,N/A,,0,0,0,0
tailscale,True,create::deployments::apps::whole; create::statefulsets::apps::whole; get::secrets::core::whole; list::secrets::core::whole; patch::deployments::apps::whole; patch::secrets::core::whole; patch::statefulsets::apps::whole; update::deployments::apps::whole; update::pods::core::whole; update::secrets::core::whole; update::statefulsets::apps::whole; watch::secrets::core::whole,6,4,7,0
