Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
argo-helm,True,create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::replicasets::apps::whole; create::statefulsets::apps::whole; get::secrets::::specific; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::pods::::whole; patch::replicasets::apps::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::deployments::::whole; update::deployments::apps::whole; update::jobs::batch::whole; update::pods::::whole; update::replicasets::apps::whole; update::secrets::::whole; update::statefulsets::apps::whole; watch::secrets::::whole; watch::secrets::core::whole,9,2,21,0
testsuite,N/A,,0,0,0,0
jans,N/A,,0,0,0,0
FinBERT,N/A,,0,0,0,0
chroma,N/A,,0,0,0,0
druid-operator,True,*::pods::core::whole; create::deployments::apps::whole; create::jobs::batch::whole; create::pods::::whole; create::pods::core::whole; create::statefulsets::apps::whole; patch::deployments::apps::whole; patch::pods::::whole; patch::statefulsets::apps::whole; update::deployments::apps::whole; update::pods::::whole; update::statefulsets::apps::whole,0,0,30,0
Kubernetes-practical-exercises-Hands-on,True,*::daemonsets::apps::whole; *::deployments::apps::whole; *::pods::::whole; *::replicasets::apps::whole; *::secrets::::whole; *::serviceaccounts/token::::whole; create::daemonsets::apps::whole; create::deployments::apps::whole; create::jobs::::whole; create::jobs::batch::whole; create::pods::::whole; create::replicasets::apps::whole; create::statefulsets::apps::whole; get::*::*::whole; get::secrets::::whole; get::secrets::core::whole; list::*::*::whole; list::secrets::::whole; list::secrets::core::whole; patch::cronjobs::batch::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::jobs::::whole; patch::jobs::batch::whole; patch::pods::::whole; patch::replicasets::apps::whole; patch::secrets::::whole; patch::secrets::core::whole; patch::statefulsets::apps::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::jobs::::whole; update::jobs::batch::whole; update::pods::::whole; update::replicasets::apps::whole; update::secrets::::whole; update::secrets::core::whole; update::statefulsets::apps::whole; watch::*::*::whole; watch::secrets::::whole; watch::secrets::core::whole,80,16,99,0
featureform,True,get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; watch::secrets::::whole; watch::secrets::core::whole,6,0,0,0
engine,True,*::secrets::::whole; *::statefulsets::apps::whole; create::daemonsets::apps::whole; create::deployments::apps::whole; create::pods::::whole; create::statefulsets::apps::whole; get::secrets::::whole; get::secrets::core::whole; list::secrets::::whole; list::secrets::core::whole; patch::daemonsets::apps::whole; patch::deployments::apps::whole; patch::jobs::batch::whole; patch::nodes::::whole; patch::secrets::::whole; patch::statefulsets::apps::whole; update::daemonsets::apps::whole; update::deployments::apps::whole; update::nodes::::whole; update::secrets::::whole; update::secrets::core::whole; update::statefulsets::apps::whole; watch::secrets::::whole; watch::secrets::core::whole,56,7,12,5
BigDL,N/A,,0,0,0,0
inlets-operator,True,create::deployments::apps::whole; get::secrets::::whole; list::secrets::::whole; patch::deployments::apps::whole; patch::secrets::::whole; update::deployments::apps::whole; update::secrets::::whole; watch::secrets::::whole,3,2,3,0
hydro-serving,N/A,,0,0,0,0
