Directory Path,ClusterRole Files,ClusterRoleBinding Files,Role Files,RoleBinding Files,ServiceAccount Usage Files,Defined Namespaces
/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi,[],[],"['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi/charts/ska-mid/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi/charts/ska-low/rendered.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi/charts/ska-mid/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi/charts/ska-low/rendered.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi/.gitlab-ci.yml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi/charts/ska-landingpage/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi/charts/ska-mid/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi/charts/ska-low/rendered.yaml']",['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/skampi/namespace-integration.yaml']
/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/ansible-hetzner-ubuntu-1804-k8s-setup,['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/ansible-hetzner-ubuntu-1804-k8s-setup/roles/kube-router/files/kube-router/kube-router-all-in-one.yaml'],['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/ansible-hetzner-ubuntu-1804-k8s-setup/roles/kube-router/files/kube-router/kube-router-all-in-one.yaml'],[],[],['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/ansible-hetzner-ubuntu-1804-k8s-setup/roles/kube-router/files/kube-router/kube-router-all-in-one.yaml'],[]
/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubernetes-sigs-kubespray,"['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubernetes-sigs-kubespray/roles/network_plugin/multus/files/multus-clusterrole.yml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubernetes-sigs-kubespray/roles/network_plugin/multus/files/multus-clusterrolebinding.yml']",['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubernetes-sigs-kubespray/roles/network_plugin/multus/files/multus-clusterrolebinding.yml'],[],[],"['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubernetes-sigs-kubespray/roles/network_plugin/kube-router/defaults/main.yml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubernetes-sigs-kubespray/roles/kubernetes/control-plane/vars/main.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubernetes-sigs-kubespray/inventory/sample/group_vars/k8s_cluster/k8s-net-kube-router.yml']",[]
/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubecf,[],[],[],[],"['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubecf/deploy/helm/kubecf/values.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/kubecf/.gitlab/deploy/runner/kubernetes/ephemeral_volume_k3s.yaml']",[]
/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook,"['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/role.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/auth_proxy_role_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/auth_proxy_role.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/role_binding.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/auth_proxy_role_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/role_binding.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/tektonrole.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/leader_election_role_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/leader_election_role.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/tektonrole.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/rbac/leader_election_role_binding.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/default/manager_image_patch.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/default/manager_auth_proxy_patch.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/default/manager_webhook_patch.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/default/manager_prometheus_metrics_patch.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/manager/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/manager/manager.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/manager/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/githook/config/manager/manager.yaml']"
/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres,"['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/viewer_clusterrole.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/auth_proxy_role_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/restapi_clusterrole_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/auth_proxy_client_clusterrole.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/auth_proxy_role.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/clusterrole.template.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/clusterrole_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/editor_clusterrole.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/restapi_admin_clusterrole_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/helm/stackgres-operator/rendered.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/auth_proxy_role_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/restapi_clusterrole_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/clusterrole_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/restapi_admin_clusterrole_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/helm/stackgres-operator/rendered.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/restapi_role_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/viewer_role.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/role_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/role.template.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/editor_role.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/helm/stackgres-operator/rendered.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/restapi_role_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/rbac/role_binding.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/helm/stackgres-operator/rendered.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/examples/full_example/production/maintenance-jobs/maintenance-vacuum-freeze.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/examples/full_example/production/cluster/PodDisruptionBudget.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/restapi/src/main/swagger/schemas/ClusterDto.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGStream.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGDistributedLogs.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGShardedCluster.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGBackup.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGInstanceProfile.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGShardedDbOps.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGDbOps.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGShardedBackup.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGCluster.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/src/common/src/main/resources/crds/SGConfig.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/default/operator_config_patch.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/default/operator_auth_proxy_patch.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/default/operator_webhook_patch.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/operator/operator.template.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/helm/stackgres-cluster/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/helm/stackgres-cluster/values.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/helm/stackgres-operator/rendered.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/helm/stackgres-operator/values.yaml']","['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/examples/full_example/production/configurations/01-CreateNameSpaces.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/examples/full_example/staging/configurations/01-CreateNameSpaces.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/stackgres/stackgres-k8s/install/operator-sdk/stackgres-operator/config/operator/operator.template.yaml']"
/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes,[],[],[],[],"['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/neutron-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/horizon.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/memcached.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/glance.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/mongodb.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/etcd.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/nova-compute.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/heat.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/nova-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/zookeeper.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/cinder.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/rabbitmq.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/ceilometer-central.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/keystone.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/galera.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/haproxy.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/aodh.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-ocata/nfs-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/neutron-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/horizon.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/memcached.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/glance.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/mongodb.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/etcd.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/nova-compute.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/heat.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/nova-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/zookeeper.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/cinder.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/rabbitmq.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/ceilometer-central.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/keystone.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/galera.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/haproxy.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/aodh.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-queens/nfs-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/neutron-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/horizon.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/memcached.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/glance.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/mongodb.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/etcd.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/nova-compute.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/heat.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/nova-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/zookeeper.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/cinder.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/rabbitmq.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/ceilometer-central.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/keystone.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/galera.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/haproxy.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/aodh.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-pike/nfs-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/neutron-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/horizon.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/memcached.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/glance.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/galera-etcd.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/mongodb.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/nova-compute.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/nova-server.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/zookeeper.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/cinder.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/rabbitmq.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/keystone.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/galera.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/haproxy.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/OpenStack-on-Kubernetes/src-newton/nfs-server.yaml']",[]
/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/sisyphus,[],[],[],[],"['/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/sisyphus/skaffold.yaml', '/home/mrostamipoor/kubernetes/third-party-app-eval/final_results/gitlab-third-party-apps/sisyphus/files/charts/sisyphus/rendered.yaml']",[]
