Application Name,Over-Privileged,Critical Permissions,Direct Access via Secret Permissions Counts,Indirect Access via Secret Manipulation Counts,Indirect Access via Resource Scheduling Control Counts,Indirect Access via Node Manipulation Counts
skampi,N/A,,0,0,0,0
ansible-hetzner-ubuntu-1804-k8s-setup,N/A,,0,0,0,0
kubernetes-sigs-kubespray,True,update::pods::::whole,0,0,1,0
kubecf,N/A,,0,0,0,0
githook,True,get::secrets::::whole; list::secrets::::whole; watch::secrets::::whole,3,0,0,0
stackgres,True,create::cronjobs::::whole; create::cronjobs::apps::whole; create::cronjobs::batch::whole; create::cronjobs::rbac.authorization.k8s.io::whole; create::deployments::::whole; create::deployments::apps::whole; create::deployments::batch::whole; create::deployments::rbac.authorization.k8s.io::whole; create::jobs::::whole; create::jobs::apps::whole; create::jobs::batch::whole; create::jobs::rbac.authorization.k8s.io::whole; create::pods::::whole; create::pods::apps::whole; create::pods::batch::whole; create::pods::rbac.authorization.k8s.io::whole; create::statefulsets::::whole; create::statefulsets::apps::whole; create::statefulsets::batch::whole; create::statefulsets::rbac.authorization.k8s.io::whole; get::secrets::::whole; get::secrets::apps::whole; get::secrets::batch::whole; get::secrets::rbac.authorization.k8s.io::whole; list::secrets::::whole; list::secrets::apps::whole; list::secrets::batch::whole; list::secrets::rbac.authorization.k8s.io::whole; patch::cronjobs::::whole; patch::cronjobs::apps::whole; patch::cronjobs::batch::whole; patch::cronjobs::rbac.authorization.k8s.io::whole; patch::deployments::::whole; patch::deployments::apps::whole; patch::deployments::batch::whole; patch::deployments::rbac.authorization.k8s.io::whole; patch::jobs::::whole; patch::jobs::apps::whole; patch::jobs::batch::whole; patch::jobs::rbac.authorization.k8s.io::whole; patch::pods::::whole; patch::pods::apps::whole; patch::pods::batch::whole; patch::pods::rbac.authorization.k8s.io::whole; patch::secrets::::whole; patch::secrets::apps::whole; patch::secrets::batch::whole; patch::secrets::rbac.authorization.k8s.io::whole; patch::statefulsets::::whole; patch::statefulsets::apps::whole; patch::statefulsets::batch::whole; patch::statefulsets::rbac.authorization.k8s.io::whole; update::cronjobs::::whole; update::cronjobs::apps::whole; update::cronjobs::batch::whole; update::cronjobs::rbac.authorization.k8s.io::whole; update::deployments::::whole; update::deployments::apps::whole; update::deployments::batch::whole; update::deployments::rbac.authorization.k8s.io::whole; update::jobs::::whole; update::jobs::apps::whole; update::jobs::batch::whole; update::jobs::rbac.authorization.k8s.io::whole; update::pods::::whole; update::pods::apps::whole; update::pods::batch::whole; update::pods::rbac.authorization.k8s.io::whole; update::secrets::::whole; update::secrets::apps::whole; update::secrets::batch::whole; update::secrets::rbac.authorization.k8s.io::whole; update::statefulsets::::whole; update::statefulsets::apps::whole; update::statefulsets::batch::whole; update::statefulsets::rbac.authorization.k8s.io::whole; watch::secrets::::whole; watch::secrets::apps::whole; watch::secrets::batch::whole; watch::secrets::rbac.authorization.k8s.io::whole,26,16,120,0
OpenStack-on-Kubernetes,N/A,,0,0,0,0
sisyphus,N/A,,0,0,0,0
